species,lifeform
Acaena inermis,chamaephyte
Acaena novae-zelandiae,chamaephyte
Acaena ovalifolia,chamaephyte
Achillea millefolium,chamaephyte
Amoria repens,chamaephyte
Anagallis arvensis,chamaephyte
Anagallis tenella,chamaephyte
Andromeda polifolia,chamaephyte
Antennaria dioica,chamaephyte
Arabidopsis lyrata subsp. petraea,chamaephyte
Arabis alpina,chamaephyte
Arabis alpina subsp. caucasica,chamaephyte
Arabis caucasica,chamaephyte
Arabis petraea,chamaephyte
Arabis scabra,chamaephyte
Arabis stricta,chamaephyte
Arctostaphylos alpinus,chamaephyte
Arctostaphylos uva-ursi,chamaephyte
Arctous alpinus,chamaephyte
Arenaria ciliata,chamaephyte
Arenaria norvegica,chamaephyte
Arenaria norvegica,chamaephyte
Armeria maritima,chamaephyte
Artemisia absinthium,chamaephyte
Artemisia campestris,chamaephyte
Artemisia maritima,chamaephyte
Arthrocnemon perenne,chamaephyte
Atriplex portulacoides,chamaephyte
Avenochloa pratensis,chamaephyte
Avenula pratensis,chamaephyte
Betula nana,chamaephyte
Brachypodium pinnatum,chamaephyte
Brassica campestris,chamaephyte
Brassica napus,chamaephyte
Brassica oleracea,chamaephyte
Brassica rapa,chamaephyte
Buglossoides purpurocaerulea,chamaephyte
Calluna vulgaris,chamaephyte
Cardaminopsis petraea,chamaephyte
Carpobrotus edulis,chamaephyte
Centaurium portense,chamaephyte
Centaurium scilloides,chamaephyte
Cerastium alpinum,chamaephyte
Cerastium arcticum,chamaephyte
Cerastium arvense,chamaephyte
Cerastium cerastoides,chamaephyte
Cerastium fontanum,chamaephyte
Cerastium holosteoides,chamaephyte
Cerastium nigrescens,chamaephyte
Cerastium nigrescens subsp. arcticum,chamaephyte
Cerastium tomentosum,chamaephyte
Cerastium triviale,chamaephyte
Cheiranthus cheiri,chamaephyte
Cherleria sedoides,chamaephyte
Chrysosplenium oppositifolium,chamaephyte
Cochlearia alpina,chamaephyte
Cochlearia atlantica,chamaephyte
Cochlearia groenlandica,chamaephyte
Cochlearia islandica,chamaephyte
Cochlearia micacea,chamaephyte
Cochlearia officinalis,chamaephyte
Cochlearia officinalis subsp. alpina,chamaephyte
Cochlearia scotica,chamaephyte
Coincya wrightii,chamaephyte
Cymbalaria muralis,chamaephyte
Cymbalaria pallida,chamaephyte
Daboecia cantabrica,chamaephyte
Dianthus caesius,chamaephyte
Dianthus deltoides,chamaephyte
Dianthus gratianopolitanus,chamaephyte
Dianthus plumarius,chamaephyte
Diapensia lapponica,chamaephyte
Diphasiastrum x issleri,chamaephyte
Diphasiastrum alpinum,chamaephyte
Diphasiastrum complanatum,chamaephyte
Diplotaxis tenuifolia,chamaephyte
Draba aizoides,chamaephyte
Draba incana,chamaephyte
Draba norvegica,chamaephyte
Draba rupestris,chamaephyte
Dryas octopetala,chamaephyte
Epilobium adenocaulon,chamaephyte
Epilobium adnatum,chamaephyte
Epilobium ciliatum,chamaephyte
Epilobium lamyi,chamaephyte
Epilobium lanceolatum,chamaephyte
Epilobium montanum,chamaephyte
Epilobium obscurum,chamaephyte
Epilobium parviflorum,chamaephyte
Epilobium roseum,chamaephyte
Epilobium semiadnatum,chamaephyte
Epilobium tetragonum,chamaephyte
Equisetum telmateia,chamaephyte
Erica ciliaris,chamaephyte
Erica cinerea,chamaephyte
Erica mackaiana,chamaephyte
Erica tetralix,chamaephyte
Erigeron borealis,chamaephyte
Erigeron karvinskianus,chamaephyte
Erigeron mucronatus,chamaephyte
Erinus alpinus,chamaephyte
Erysimum cheiri,chamaephyte
Euphorbia paralias,chamaephyte
Euphorbia portlandica,chamaephyte
Festuca pratensis,chamaephyte
Frankenia laevis,chamaephyte
Galeobdolon luteum,chamaephyte
Genista pilosa,chamaephyte
Gentiana verna,chamaephyte
Gnaphalium supinum,chamaephyte
Halimione portulacoides,chamaephyte
Hebe elliptica,chamaephyte
Hebe salicifolia,chamaephyte
Hebe speciosa,chamaephyte
Hebe x franciscana,chamaephyte
Hedera helix,chamaephyte
Helianthemum apenninum,chamaephyte
Helianthemum canum,chamaephyte
Helianthemum chamaecistus,chamaephyte
Helianthemum nummularium,chamaephyte
Helictotrichon pratense,chamaephyte
Helleborus foetidus,chamaephyte
Helxine soleirolii,chamaephyte
Herniaria ciliolata,chamaephyte
Hippocrepis comosa,chamaephyte
Huperzia selago,chamaephyte
Hutera wrightii,chamaephyte
Hymenophyllum tunbrigense,chamaephyte
Hymenophyllum wilsonii,chamaephyte
Hypericum calycinum,chamaephyte
Hypericum humifusum,chamaephyte
Hypericum linariifolium,chamaephyte
Inula crithmoides,chamaephyte
Iris foetidissima,chamaephyte
Juncus foliosus,chamaephyte
Kalmia procumbens,chamaephyte
Koeleria vallesiana,chamaephyte
Lamiastrum galeobdolon,chamaephyte
Lamium galeobdolon,chamaephyte
Lepidotis inundata,chamaephyte
Linnaea borealis,chamaephyte
Lithospermum purpurocaeruleum,chamaephyte
Loiseleuria procumbens,chamaephyte
Lychnis alpina,chamaephyte
Lychnis viscaria,chamaephyte
Lycopodiella inundata,chamaephyte
Lycopodium alpinum,chamaephyte
Lycopodium alpinum L var decipiens,chamaephyte
Lycopodium annotinum,chamaephyte
Lycopodium clavatum,chamaephyte
Lycopodium inundatum,chamaephyte
Lycopodium issleri,chamaephyte
Lycopodium selago,chamaephyte
Lysimachia nemorum,chamaephyte
Lysimachia nummularia,chamaephyte
Matricaria maritima,chamaephyte
Matthiola incana,chamaephyte
Minuartia recurva,chamaephyte
Minuartia rubella,chamaephyte
Minuartia sedoides,chamaephyte
Minuartia stricta,chamaephyte
Minuartia verna,chamaephyte
Moneses uniflora,chamaephyte
Myosoton aquaticum,chamaephyte
Noccaea caerulescens,chamaephyte
Ochagavia carnea,chamaephyte
Omalotheca supinum,chamaephyte
Ononis campestris,chamaephyte
Ononis repens,chamaephyte
Ononis repens subsp. maritima,chamaephyte
Ononis repens subsp. spinosa,chamaephyte
Ononis spinosa,chamaephyte
Origanum vulgare,chamaephyte
Orthilia secunda,chamaephyte
Oxalis acetosella,chamaephyte
Oxalis corniculata,chamaephyte
Oxycoccos palustris,chamaephyte
Oxycoccus macrocarpus,chamaephyte
Oxycoccus microcarpus,chamaephyte
Phyllodoce caerulea,chamaephyte
Poa trivialis,chamaephyte
Polygala amara,chamaephyte
Polygala amarella,chamaephyte
Polygala austriaca,chamaephyte
Polygala calcarea,chamaephyte
Polygala serpyllifolia,chamaephyte
Polygala vulgaris,chamaephyte
Pyrola minor,chamaephyte
Pyrola secunda,chamaephyte
Ramischia secunda,chamaephyte
Rhynchosinapis wrightii,chamaephyte
Rubia peregrina,chamaephyte
Sagina boydii,chamaephyte
Sagina glabra,chamaephyte
Sagina intermedia,chamaephyte
Sagina nivalis,chamaephyte
Sagina nodosa,chamaephyte
Sagina pilifera,chamaephyte
Sagina saginoides,chamaephyte
Sagina saginoides subsp. scotica,chamaephyte
Sagina subulata,chamaephyte
Sagina x normaniana = S. saginoides x S. procumbens,chamaephyte
Salicornia perennis,chamaephyte
Salix herbacea,chamaephyte
Salix reticulata,chamaephyte
Sarcocornia perennis,chamaephyte
Sasa palmata,chamaephyte
Saussurea alpina,chamaephyte
Saxifraga aizoides,chamaephyte
Saxifraga cespitosa,chamaephyte
Saxifraga decipiens,chamaephyte
Saxifraga hypnoides,chamaephyte
Saxifraga oppositifolia,chamaephyte
Saxifraga platypetala,chamaephyte
Saxifraga rosacea,chamaephyte
Saxifraga stellaris,chamaephyte
Scleranthus perennis,chamaephyte
Sedum acre,chamaephyte
Sedum album,chamaephyte
Sedum anglicum,chamaephyte
Sedum elegans,chamaephyte
Sedum forsterianum,chamaephyte
Sedum reflexum,chamaephyte
Sedum rupestre,chamaephyte
Sedum spurium,chamaephyte
Sedum villosum,chamaephyte
Selaginella selaginoides,chamaephyte
Seriphidium maritimum,chamaephyte
Sibthorpia europaea,chamaephyte
Silene acaulis,chamaephyte
Silene dioica,chamaephyte
Silene suecica,chamaephyte
Solanum dulcamara,chamaephyte
Soleirolia soleirolii,chamaephyte
Spergularia marginata,chamaephyte
Spergularia maritima,chamaephyte
Spergularia media,chamaephyte
Spergularia rupicola,chamaephyte
Stellaria aquatica,chamaephyte
Stellaria holostea,chamaephyte
Steris alpina,chamaephyte
Steris viscaria,chamaephyte
Thesium humifusum,chamaephyte
Thlaspi alpestre,chamaephyte
Thlaspi caerulescens,chamaephyte
Thlaspi calaminare,chamaephyte
Thymus drucei,chamaephyte
Thymus polytrichus,chamaephyte
Thymus praecox,chamaephyte
Thymus pulegioides,chamaephyte
Thymus serpyllum,chamaephyte
Trichomanes speciosum,chamaephyte
Trifolium repens,chamaephyte
Tripleurospermum maritimum,chamaephyte
Vaccinium macrocarpon,chamaephyte
Vaccinium microcarpum,chamaephyte
Vaccinium myrtillus,chamaephyte
Vaccinium oxycoccos,chamaephyte
Vaccinium uliginosum,chamaephyte
Vaccinium vitis-idaea,chamaephyte
Veronica alpina,chamaephyte
Veronica chamaedrys,chamaephyte
Veronica filiformis,chamaephyte
Veronica fruticans,chamaephyte
Veronica montana,chamaephyte
Veronica officinalis,chamaephyte
Veronica salicifolia,chamaephyte
Veronica spicata,chamaephyte
Vinca minor,chamaephyte
Viscaria alpina,chamaephyte
Viscaria vulgaris,chamaephyte
Viscum album,epiphyte
Aceras anthropophorum,geophyte
Aconitum anglicum,geophyte
Aconitum napellus,geophyte
Actaea spicata,geophyte
Adoxa moschatellina,geophyte
Agapanthus praecox,geophyte
Allium carinatum,geophyte
Allium oleraceum,geophyte
Allium schoenoprasum,geophyte
Allium scorodoprasum,geophyte
Allium sphaerocephalon,geophyte
Allium triquetrum,geophyte
Allium ursinum,geophyte
Allium vineale,geophyte
Ammophila arenaria,geophyte
Anacamptis morio,geophyte
Anacamptis pyramidalis,geophyte
Anemone nemorosa,geophyte
Aristolochia clematitis,geophyte
Arum italicum,geophyte
Arum maculatum,geophyte
Asparagus officinalis,geophyte
Asparagus officinalis subsp. officinalis,geophyte
Asperula odorata,geophyte
Botrychium lunaria,geophyte
Bryonia cretica,geophyte
Bryonia cretica subsp. dioica,geophyte
Bryonia dioica,geophyte
Bunium bulbocastanum,geophyte
Cardamine bulbifera,geophyte
Cardaria draba,geophyte
Cephalanthera damasonium,geophyte
Cephalanthera longifolia,geophyte
Cephalanthera rubra,geophyte
Circaea alpina,geophyte
Circaea lutetiana,geophyte
Circaea x intermedia,geophyte
Cirsium arvense,geophyte
Cirsium tuberosum,geophyte
Coeloglossum viride,geophyte
Colchicum autumnale,geophyte
Conopodium denudatum,geophyte
Conopodium majus,geophyte
Convallaria majalis,geophyte
Convolvulus arvensis,geophyte
Corallorhiza trifida,geophyte
Crambe maritima,geophyte
Crocosmia x crocosmiiflora = C. potsii x C. aurea,geophyte
Crocus nudiflorus,geophyte
Crocus vernus,geophyte
Cypripedium calceolus,geophyte
Dactylorchis fuchsii,geophyte
Dactylorchis incarnata,geophyte
Dactylorchis maculata,geophyte
Dactylorchis majalis,geophyte
Dactylorchis traunsteineri,geophyte
Dactylorhiza fuchsii,geophyte
Dactylorhiza incarnata,geophyte
Dactylorhiza kerryensis,geophyte
Dactylorhiza longebracteata,geophyte
Dactylorhiza maculata,geophyte
Dactylorhiza maculata subsp. fuchsii,geophyte
Dactylorhiza majalis,geophyte
Dactylorhiza traunsteineri,geophyte
Dactylorhiza traunsteinerioides,geophyte
Dentaria bulbifera,geophyte
Ecballium elaterium,geophyte
Endymion non-scriptus,geophyte
Epipactis atrorubens,geophyte
Epipactis cambrensis,geophyte
Epipactis cleistogama,geophyte
Epipactis confusa,geophyte
Epipactis dunensis,geophyte
Epipactis helleborine,geophyte
Epipactis leptochila,geophyte
Epipactis muelleri,geophyte
Epipactis palustris,geophyte
Epipactis pendula,geophyte
Epipactis phyllanthes,geophyte
Epipactis purpurata,geophyte
Epipactis vectensis,geophyte
Epipogium aphyllum,geophyte
Equisetum arvense,geophyte
Equisetum hyemale,geophyte
Equisetum palustre,geophyte
Equisetum pratense,geophyte
Equisetum ramosissimum,geophyte
Equisetum sylvaticum,geophyte
Equisetum variegatum,geophyte
Eranthis hyemalis,geophyte
Fallopia japonica,geophyte
Fallopia sachalinensis,geophyte
Ficaria verna,geophyte
Fritillaria meleagris,geophyte
Gagea bohemica,geophyte
Gagea lutea,geophyte
Galanthus elwesii,geophyte
Galanthus nivalis,geophyte
Galium odoratum,geophyte
Gladiolus illyricus,geophyte
Goodyera repens,geophyte
Gymnadenia conopsea,geophyte
Gymnocarpium dryopteris,geophyte
Gymnocarpium robertianum,geophyte
Hammarbya paludosa,geophyte
Herminium monorchis,geophyte
Himantoglossum hircinum,geophyte
Homogyne alpina,geophyte
Hyacinthoides non-scripta,geophyte
Isoetes histrix,geophyte
Juncus balticus,geophyte
Juncus compressus,geophyte
Juncus gerardii,geophyte
Juncus maritimus,geophyte
Lathraea squamaria,geophyte
Lepidium draba,geophyte
Leucojum aestivum,geophyte
Leucojum vernum,geophyte
Leucorchis albida,geophyte
Lilium martagon,geophyte
Lilium pyrenaicum,geophyte
Liparis loeselii,geophyte
Listera cordata,geophyte
Listera ovata,geophyte
Lloydia serotina,geophyte
Maianthemum bifolium,geophyte
Maianthemum kamtschaticum,geophyte
Malaxis paludosa,geophyte
Monotropa hypopitys,geophyte
Muscari atlanticum,geophyte
Muscari neglectum,geophyte
Muscari racemosum,geophyte
Narcissus pseudonarcissus,geophyte
Neotinea intacta,geophyte
Neotinea maculata,geophyte
Neotinea ustulata,geophyte
Neottia cordata,geophyte
Neottia nidus-avis,geophyte
Neottia ovata,geophyte
Oenanthe crocata,geophyte
Ophioglossum azoricum,geophyte
Ophioglossum lusitanicum,geophyte
Ophrys apifera,geophyte
Ophrys fuciflora,geophyte
Ophrys holoserica,geophyte
Ophrys insectifera,geophyte
Ophrys sphegodes,geophyte
Orchis anthropophora,geophyte
Orchis latifolia var eborensis,geophyte
Orchis mascula,geophyte
Orchis militaris,geophyte
Orchis morio,geophyte
Orchis purpurea,geophyte
Orchis simia,geophyte
Orchis ustulata,geophyte
Ornithogalum angustifolium,geophyte
Ornithogalum pyrenaicum,geophyte
Ornithogalum umbellatum,geophyte
Orobanche alba,geophyte
Orobanche artemisiae-campestris,geophyte
Orobanche caryophyllacea,geophyte
Orobanche elatior,geophyte
Orobanche hederae,geophyte
Orobanche loricata,geophyte
Orobanche minor,geophyte
Orobanche picridis,geophyte
Orobanche purpurea,geophyte
Orobanche rapum-genistae,geophyte
Orobanche rapum-genistae,geophyte
Orobanche reticulata,geophyte
Oxalis pes-caprae,geophyte
Paris quadrifolia,geophyte
Persicaria polystachya,geophyte
Persicaria wallichii,geophyte
Petasites albus,geophyte
Petasites fragrans,geophyte
Petasites hybridus,geophyte
Petasites japonicus,geophyte
Phegopteris connectilis,geophyte
Platanthera bifolia,geophyte
Platanthera chlorantha,geophyte
Polygonatum multiflorum,geophyte
Polygonatum odoratum,geophyte
Polygonatum verticillatum,geophyte
Polygonum cuspidatum,geophyte
Polygonum polystachyum,geophyte
Polygonum sachalinense,geophyte
Polypodium cambricum,geophyte
Polypodium interjectum,geophyte
Polypodium vulgare,geophyte
Pseudorchis albida,geophyte
Pteridium aquilinum,geophyte
Ranunculus auricomus,geophyte
Reynoutria japonica,geophyte
Reynoutria sachalinensis,geophyte
Romulea columnae,geophyte
Rudbeckia laciniata,geophyte
Scilla autumnalis,geophyte
Scilla verna,geophyte
Simethis planifolia,geophyte
Spergularia marginata,geophyte
Spergularia maritima,geophyte
Spergularia media,geophyte
Spiranthes romanzoffiana,geophyte
Spiranthes spiralis,geophyte
Stachys palustris,geophyte
Tamus communis,geophyte
Thelypteris dryopteris,geophyte
Thelypteris palustris,geophyte
Thelypteris phegopteris,geophyte
Thelypteris robertiana,geophyte
Tragopogon pratensis,geophyte
Trientalis europaea,geophyte
Tritonia crocosmiflora,geophyte
Tulipa sylvestris,geophyte
Tussilago farfara,geophyte
Acorus calamus,helophyte
Acorus gramineus,helophyte
Alisma gramineum,helophyte
Alisma lanceolatum,helophyte
Alisma plantago-aquatica,helophyte
Apium nodiflorum,helophyte
Apium repens,helophyte
Aracium paludosum,helophyte
Aster tripolium,helophyte
Baldellia ranunculoides,helophyte
Berula erecta,helophyte
Blysmus compressus,helophyte
Blysmus rufus,helophyte
Bolboschoenus maritimus,helophyte
Butomus umbellatus,helophyte
Carex acuta,helophyte
Carex acutiformis,helophyte
Carex aquatilis,helophyte
Carex buxbaumii,helophyte
Carex canescens subsp. canescens,helophyte
Carex chordorrhiza,helophyte
Carex curta,helophyte
Carex echinata,helophyte
Carex elata,helophyte
Carex elongata,helophyte
Carex lachenalii,helophyte
Carex lasiocarpa,helophyte
Carex limosa,helophyte
Carex magellanica,helophyte
Carex microglochin,helophyte
Carex nigra,helophyte
Carex norvegica,helophyte
Carex paniculata,helophyte
Carex pauciflora,helophyte
Carex paupercula,helophyte
Carex pseudocyperus,helophyte
Carex pulicaris,helophyte
Carex rariflora,helophyte
Carex recta,helophyte
Carex riparia,helophyte
Carex rostrata,helophyte
Carex vesicaria,helophyte
Catabrosa aquatica,helophyte
Cicuta virosa,helophyte
Cirsium dissectum,helophyte
Cladium mariscus,helophyte
Cnicus pratensis,helophyte
Comarum palustre,helophyte
Crepis paludosa,helophyte
Cyperus longus,helophyte
Drosera anglica,helophyte
Drosera longifolia,helophyte
Drosera rotundifolia,helophyte
Elatine hexandra,helophyte
Eleocharis acicularis,helophyte
Eleocharis austriaca,helophyte
Eleocharis mamillata subsp. austriaca,helophyte
Eleocharis multicaulis,helophyte
Eleocharis palustris,helophyte
Eleocharis parvula,helophyte
Eleocharis quinqueflora,helophyte
Eleocharis uniglumis,helophyte
Equisetum fluviatile,helophyte
Eriocaulon aquaticum,helophyte
Eriocaulon septangulare,helophyte
Eriophorum angustifolium,helophyte
Eriophorum gracile,helophyte
Eriophorum latifolium,helophyte
Eriophorum vaginatum,helophyte
Eupatorium cannabinum,helophyte
Galium constrictum,helophyte
Galium debile,helophyte
Galium elongatum,helophyte
Galium elongatum,helophyte
Galium palustre,helophyte
Galium palustre,helophyte
Galium uliginosum,helophyte
Glyceria declinata,helophyte
Glyceria fluitans,helophyte
Glyceria maxima,helophyte
Glyceria notata,helophyte
Glyceria plicata,helophyte
Hieracium paludosum,helophyte
Holoschoenus vulgaris,helophyte
Hypericum elodes,helophyte
Iris pseudacorus,helophyte
Iris versicolor,helophyte
Isolepis setacea,helophyte
Juncus acutiflorus,helophyte
Juncus articulatus,helophyte
Juncus bulbosus,helophyte
Juncus castaneus,helophyte
Juncus filiformis,helophyte
Juncus kochii,helophyte
Juncus subnodulosus,helophyte
Leersia oryzoides,helophyte
Ludwigia palustris,helophyte
Lycopus europaeus,helophyte
Lysichiton americanus,helophyte
Lysimachia thyrsiflora,helophyte
Lysimachia vulgaris,helophyte
Lythrum salicaria,helophyte
Mentha aquatica,helophyte
Mentha hirsuta,helophyte
Menyanthes trifoliata,helophyte
Mimulus guttatus,helophyte
Mimulus luteus,helophyte
Mimulus variegatus,helophyte
Montia fontana,helophyte
Myosotis brevifolia,helophyte
Myosotis cespitosa,helophyte
Myosotis laxa,helophyte
Myosotis palustris,helophyte
Myosotis repens,helophyte
Myosotis scorpioides,helophyte
Myosotis secunda,helophyte
Myosotis stolonifera,helophyte
Myosotis strigulosa,helophyte
Narthecium ossifragum,helophyte
Nasturtium microphyllum,helophyte
Nasturtium officinale,helophyte
Nasturtium palustre,helophyte
Naumburgia thyrsiflora,helophyte
Oenanthe fistulosa,helophyte
Phalaris arundinacea,helophyte
Phragmites australis,helophyte
Phragmites communis,helophyte
Pilularia globulifera,helophyte
Potentilla palustris,helophyte
Ranunculus flammula,helophyte
Ranunculus lingua,helophyte
Ranunculus sceleratus,helophyte
Rhynchospora alba,helophyte
Rhynchospora fusca,helophyte
Rorippa amphibia,helophyte
Rorippa islandica,helophyte
Rorippa microphylla,helophyte
Rorippa nasturtium-aquaticum,helophyte
Rorippa palustris,helophyte
Rorippa sylvestris,helophyte
Rumex aquaticus,helophyte
Rumex hydrolapathum,helophyte
Sarracenia purpurea,helophyte
Scheuchzeria palustris,helophyte
Schoenoplectus triqueter,helophyte
Scirpoides holoschoenus,helophyte
Scirpus cespitosus,helophyte
Scirpus holoschoenus,helophyte
Scirpus maritimus,helophyte
Scirpus setaceus,helophyte
Scirpus sylvaticus,helophyte
Scirpus triqueter,helophyte
Senecio fluviatilis,helophyte
Senecio paludosus,helophyte
Sium latifolium,helophyte
Sparganium emersum,helophyte
Spartina alterniflora,helophyte
Spartina anglica,helophyte
Spartina glabra,helophyte
Spartina maritima,helophyte
Spartina x townsendii,helophyte
Stellaria alsine,helophyte
Stellaria palustris,helophyte
Stellaria uliginosa,helophyte
Tofieldia pusilla,helophyte
Trichophorum cespitosum,helophyte
Triglochin maritima,helophyte
Triglochin maritimum,helophyte
Triglochin palustre,helophyte
Triglochin palustris,helophyte
Veronica anagallis-aquatica,helophyte
Veronica beccabunga,helophyte
Veronica catenata,helophyte
Veronica scutellata,helophyte
Achillea ptarmica,hemicryptophyte
Acroptilon repens,hemicryptophyte
Adiantum capillus-veneris,hemicryptophyte
Aegopodium podagraria,hemicryptophyte
Agrimonia agrimonioides,hemicryptophyte
Agrimonia eupatoria,hemicryptophyte
Agrimonia odorata,hemicryptophyte
Agrimonia procera,hemicryptophyte
Agrimonia repens,hemicryptophyte
Agropyron caninum,hemicryptophyte
Agropyron donianum,hemicryptophyte
Agropyron junceiforme,hemicryptophyte
Agropyron junceum,hemicryptophyte
Agropyron pungens,hemicryptophyte
Agropyron pycnanthum,hemicryptophyte
Agropyron repens,hemicryptophyte
Agrostis canina,hemicryptophyte
Agrostis canina subsp. montana,hemicryptophyte
Agrostis capillaris,hemicryptophyte
Agrostis castellana,hemicryptophyte
Agrostis curtisii,hemicryptophyte
Agrostis gigantea,hemicryptophyte
Agrostis hyemalis,hemicryptophyte
Agrostis scabra,hemicryptophyte
Agrostis setacea,hemicryptophyte
Agrostis stolonifera,hemicryptophyte
Agrostis tenuis,hemicryptophyte
Agrostis vinealis,hemicryptophyte
Ajuga chamaepitys,hemicryptophyte
Ajuga pyramidalis,hemicryptophyte
Ajuga reptans,hemicryptophyte
Alchemilla acutiloba,hemicryptophyte
Alchemilla alpina,hemicryptophyte
Alchemilla filicaulis,hemicryptophyte
Alchemilla glabra,hemicryptophyte
Alchemilla glaucescens,hemicryptophyte
Alchemilla glomerulans,hemicryptophyte
Alchemilla minima,hemicryptophyte
Alchemilla minor,hemicryptophyte
Alchemilla monticola,hemicryptophyte
Alchemilla obtusa,hemicryptophyte
Alchemilla subcrenata,hemicryptophyte
Alchemilla vestita,hemicryptophyte
Alchemilla wichurae,hemicryptophyte
Alchemilla xanthochlora,hemicryptophyte
Alliaria petiolata,hemicryptophyte
Alopecurus aequalis,hemicryptophyte
Alopecurus alpinus,hemicryptophyte
Alopecurus borealis,hemicryptophyte
Alopecurus bulbosus,hemicryptophyte
Alopecurus geniculatus,hemicryptophyte
Alopecurus magellanicus,hemicryptophyte
Alopecurus pratensis,hemicryptophyte
Althaea officinalis,hemicryptophyte
Alyssum alyssoides,hemicryptophyte
Ammophila arenaria,hemicryptophyte
